,Actor,Ranking
0,Robert Downey Jr.,A
1,Samuel L. Jackson,A
2,Scarlett Johansson,A
3,Chris Hemsworth,A
4,Chris Evans,A
5,Zoe Saldana,A
6,Chris Pratt,A
7,Tom Hanks,A
8,Bradley Cooper,A
9,Johnny Depp,A
10,Tom Cruise,A
11,Mark Ruffalo,A
12,Vin Diesel,A
13,Emma Watson,A
14,Dwayne Johnson,A
15,Don Cheadle,A
16,Jeremy Renner,A
17,Will Smith,A
18,Daniel Radcliffe,A
19,Harrison Ford,A
20,Rupert Grint,A
21,Karen Gillan,A
22,Chadwick Boseman,A
23,Tom Holland,A
24,Elizabeth Olsen,A
25,Benedict Cumberbatch,A
26,Josh Brolin,A
27,Leonardo DiCaprio,A
28,Sebastian Stan,A
29,Matt Damon,A
30,Tom Hiddleston,A
31,Paul Bettany,A
32,Dave Bautista,A
33,Eddie Murphy,A
34,Brad Pitt,A
35,Liam Neeson,A
36,Bruce Willis,A
37,Ben Stiller,A
38,Hugh Jackman,A
39,Ian McKellen,A
40,Letitia Wright,A
41,Danai Gurira,A
42,Steve Carell,A
43,Gwyneth Paltrow,A
44,Jennifer Lawrence,A
45,Cameron Diaz,A
46,Nicolas Cage,A
47,Pom Klementieff,A
48,Ewan McGregor,A
49,Benedict Wong,A
50,Josh Gad,A
51,Sandra Bullock,A
52,Adam Sandler,A
53,Jim Carrey,A
54,Julia Roberts,A
55,Jack Black,A
56,Idris Elba,A
57,Ben Affleck,A
58,Robert De Niro,A
59,Daisy Ridley,A
60,Paul Rudd,A
61,Natalie Portman,A
62,John Boyega,A
63,Christian Bale,A
64,Sylvester Stallone,A
65,Robin Williams,A
66,Jason Statham,A
67,Orlando Bloom,A
68,Mel Gibson,A
69,Adam Driver,A
70,Morgan Freeman,A
71,Owen Wilson,A
72,Brie Larson,A
73,George Clooney,A
74,Ralph Fiennes,A
75,Simon Pegg,A
76,Arnold Schwarzenegger,A
77,Shia LaBeouf,A
78,Martin Freeman,A
79,Ryan Reynolds,A
80,Kevin Hart,A
81,Anthony Mackie,A
82,Keanu Reeves,A
83,Meryl Streep,A
84,Mark Wahlberg,A
85,Jon Favreau,A
86,Mark Hamill,A
87,Keegan-Michael Key,A
88,Denzel Washington,A
89,Keira Knightley,A
90,Tim Allen,A
91,Geoffrey Rush,A
92,Mike Myers,A
93,Daniel Craig,A
94,Sam Worthington,A
95,Kristen Stewart,A
96,Paul Walker,A
97,John Travolta,A
98,Evangeline Lilly,A
99,Nicole Kidman,A
100,Channing Tatum,A
101,Jude Law,A
102,Anthony Hopkins,A
103,Seth Rogen,A
104,Taylor Lautner,A
105,Viggo Mortensen,A
106,Lupita Nyong'o,A
107,Michael Douglas,A
108,Angelina Jolie,A
109,Cate Blanchett,A
110,Andy Serkis,A
111,Michelle Pfeiffer,A
112,Robert Pattinson,A
113,Kristen Bell,A
114,Kate Winslet,A
115,James McAvoy,A
116,Ben Kingsley,A
117,Colin Firth,A
118,John Leguizamo,A
119,Tommy Lee Jones,A
120,Henry Cavill,A
121,Russell Crowe,A
122,Anne Hathaway,A
123,Kevin Costner,A
124,Denis Leary,A
125,Charlize Theron,A
126,Michelle Rodriguez,A
127,Ray Romano,A
128,Colin Farrell,A
129,Tobey Maguire,A
130,Will Ferrell,A
131,Carrie Fisher,A
132,Chris Pine,A
133,Jamie Foxx,A
134,Gerard Butler,A
135,Alan Tudyk,A
136,John Goodman,A
137,Ben Mendelsohn,A
138,Michael Fassbender,A
139,Kevin James,A
140,Woody Harrelson,A
141,Chris Rock,A
142,Dustin Hoffman,A
143,Bill Murray,A
144,Jackie Chan,A
145,Sacha Baron Cohen,A
146,Amy Adams,A
147,Terry Notary,A
148,Kristen Wiig,A
149,Reese Witherspoon,A
150,Oscar Isaac,A
151,Emma Thompson,A
152,Idina Menzel,A
153,Richard Gere,A
154,Zendaya,A
155,Matthew McConaughey,A
156,Angela Bassett,A
157,Robert Redford,A
158,Jake Gyllenhaal,A
159,Chiwetel Ejiofor,A
160,Antonio Banderas,A
161,Pierce Brosnan,A
162,Rachel McAdams,A
163,Zach Galifianakis,A
164,Michael Peña,A
165,Jennifer Aniston,A
166,Helena Bonham Carter,A
167,Elijah Wood,A
168,Beyoncé Knowles,A
169,Michael Keaton,A
170,Clint Eastwood,A
171,Kurt Russell,A
172,Gal Gadot,A
173,Jada Pinkett Smith,A
174,Anthony Daniels,A
175,Javier Bardem,A
176,Jonah Hill,A
177,Queen Latifah,A
178,Alan Rickman,A
179,Willem Dafoe,A
180,Jack Nicholson,A
181,Dennis Quaid,A
182,Amanda Seyfried,A
183,Rowan Atkinson,A
184,Jesse Eisenberg,A
185,Aaron Taylor-Johnson,A
186,Tilda Swinton,A
187,Penélope Cruz,A
188,Patrick Stewart,A
189,Al Pacino,A
190,Michael Caine,A
191,Jason Bateman,A
192,Kevin Kline,A
193,Alec Baldwin,A
194,Steve Martin,A
195,Jeff Bridges,A
196,Ezra Miller,A
197,John Cusack,A
198,Catherine Zeta-Jones,A
199,Emily Blunt,A
200,Tom Hardy,B
201,Michael B. Jordan,B
202,Donnie Yen,B
203,Eddie Redmayne,B
204,Karl Urban,B
205,John C. Reilly,B
206,Bill Hader,B
207,Julie Walters,B
208,Donald Glover,B
209,Forest Whitaker,B
210,Hugh Grant,B
211,Zac Efron,B
212,Holly Hunter,B
213,Jay Baruchel,B
214,Demi Moore,B
215,Margot Robbie,B
216,Michelle Williams,B
217,Michael J. Fox,B
218,Danny DeVito,B
219,Emma Stone,B
220,Rachel Weisz,B
221,Ellen DeGeneres,B
222,Luke Evans,B
223,Justin Long,B
224,Dolph Lundgren,B
225,David Spade,B
226,Nick Jonas,B
227,Bryce Dallas Howard,B
228,Billy Crystal,B
229,Riz Ahmed,B
230,Mads Mikkelsen,B
231,Andy Samberg,B
232,David Schwimmer,B
233,Jason Momoa,B
234,Renée Zellweger,B
235,Craig T. Nelson,B
236,Sarah Vowell,B
237,T.J. Miller,B
238,Will Arnett,B
239,Benicio del Toro,B
240,Albert Brooks,B
241,Jennifer Lopez,B
242,Megan Fox,B
243,Bill Nighy,B
244,Drew Barrymore,B
245,Hayden Christensen,B
246,Ed Helms,B
247,Kate Beckinsale,B
248,Andy Garcia,B
249,Laurence Fishburne,B
250,Vince Vaughn,B
251,Taron Egerton,B
252,James Earl Jones,B
253,John Oliver,B
254,Joaquin Phoenix,B
255,Jodie Foster,B
256,Christoph Waltz,B
257,Joseph Gordon-Levitt,B
258,James Spader,B
259,Jon Hamm,B
260,Andrew Garfield,B
261,Katherine Waterston,B
262,Milla Jovovich,B
263,Brendan Fraser,B
264,Alfre Woodard,B
265,Daniel Kaluuya,B
266,Selena Gomez,B
267,Tyrese Gibson,B
268,Tom McGrath,B
269,Ryan Gosling,B
270,Maggie Smith,B
271,Jet Li,B
272,Mindy Kaling,B
273,Shahadi Wright Joseph,B
274,Billy Eichner,B
275,John Kani,B
276,Florence Kasumba,B
277,Eric Andre,B
278,JD McCrary,B
279,Cedric the Entertainer,B
280,Meg Ryan,B
281,Patrick Wilson,B
282,Dan Stevens,B
283,Halle Berry,B
284,James Franco,B
285,Annette Bening,B
286,Sean Connery,B
287,Jessica Alba,B
288,Dakota Johnson,B
289,Dylan O’Brien,B
290,Jeff Goldblum,B
291,Georgie Henley,B
292,Skandar Keynes,B
293,Glenn Close,B
294,Matthew Broderick,B
295,Martin Lawrence,B
296,Guy Pearce,B
297,Susan Sarandon,B
298,Sigourney Weaver,B
299,Paul Newman,B
300,Robbie Coltrane,B
301,Jason Sudeikis,B
302,Dan Fogler,B
303,Domhnall Gleeson,B
304,Melissa McCarthy,B
305,Seth MacFarlane,B
306,Isla Fisher,B
307,Rami Malek,B
308,Jai Courtney,B
309,Anna Kendrick,B
310,Steve Buscemi,B
311,Stanley Tucci,B
312,Joonas Suotamo,B
313,Alison Sudol,B
314,Dominic Cooper,B
315,Elizabeth Banks,B
316,Felicity Jones,B
317,Jesse McCartney,B
