,title,budget,currency_symbol,currency_amount
0,Metropolis,DEM 6000000,DEM,10440.0
1,City Lights,$ 1500000,$,1500000
2,Modern Times,$ 1500000,$,1500000
3,Snow White and the Seven Dwarfs,$ 1499000,$,1499000
4,Gone with the Wind,$ 3977000,$,3977000
5,Mr. Smith Goes to Washington,$ 1900000,$,1900000
6,The Wizard of Oz,$ 2777000,$,2777000
7,Fantasia,$ 2280000,$,2280000
8,Pinocchio,$ 2600000,$,2600000
9,Citizen Kane,$ 839727,$,839727
10,Casablanca,$ 950000,$,950000
11,Kate & Leopold,$ 48000000,$,48000000
12,The Best Years of Our Lives,$ 2100000,$,2100000
13,The Treasure of the Sierra Madre,$ 3000000,$,3000000
14,All About Eve,$ 1400000,$,1400000
15,Cinderella,$ 2900000,$,2900000
16,Rashômon,$ 250000,$,250000
17,Singin' in the Rain,$ 2540800,$,2540800
18,From Here to Eternity,$ 1650000,$,1650000
19,Peter Pan,$ 4000000,$,4000000
20,Dial M for Murder,$ 1400000,$,1400000
21,Gojira,$ 175000,$,175000
22,Rear Window,$ 1000000,$,1000000
23,Shichinin no samurai,JPY 125000000,JPY,1162500.0
24,A Star Is Born,$ 5019770,$,5019770
25,Lady and the Tramp,$ 4000000,$,4000000
26,Rebel Without a Cause,$ 1500000,$,1500000
27,Giant,$ 5400000,$,5400000
28,The Bridge on the River Kwai,$ 3000000,$,3000000
29,Touch of Evil,$ 829000,$,829000
30,Vertigo,$ 2479000,$,2479000
31,Ben-Hur,$ 15000000,$,15000000
32,Sleeping Beauty,$ 6000000,$,6000000
33,Le petit soldat,$ 180000,$,180000
34,Psycho,$ 806947,$,806947
35,Spartacus,$ 12000000,$,12000000
36,Swiss Family Robinson,$ 5000000,$,5000000
37,One Hundred and One Dalmatians,$ 4000000,$,4000000
38,Une femme est une femme,$ 160000,$,160000
39,West Side Story,$ 6000000,$,6000000
40,Dr. No,$ 1100000,$,1100000
41,How the West Was Won,$ 15000000,$,15000000
42,Lawrence of Arabia,$ 15000000,$,15000000
43,The Manchurian Candidate,$ 2200000,$,2200000
44,To Kill a Mockingbird,$ 2000000,$,2000000
45,Cleopatra,$ 44000000,$,44000000
46,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,$ 1800000,$,1800000
47,From Russia with Love,$ 2000000,$,2000000
48,It's a Mad Mad Mad Mad World,$ 9400000,$,9400000
49,The Sword in the Stone,$ 3000000,$,3000000
50,Bande à part,$ 120000,$,120000
51,Goldfinger,$ 3000000,$,3000000
52,A Hard Day's Night,$ 560000,$,560000
53,Mary Poppins,$ 6000000,$,6000000
54,My Fair Lady,$ 17000000,$,17000000
55,Per un pugno di dollari,$ 200000,$,200000
56,La battaglia di Algeri,$ 800000,$,800000
57,Doctor Zhivago,$ 11000000,$,11000000
58,Per qualche dollaro in più,$ 600000,$,600000
59,The Sound of Music,$ 8200000,$,8200000
60,Thunderball,$ 9000000,$,9000000
61,"Il buono, il brutto, il cattivo",$ 1200000,$,1200000
62,Who's Afraid of Virginia Woolf?,$ 7500000,$,7500000
63,The Graduate,$ 3000000,$,3000000
64,Guess Who's Coming to Dinner,$ 4000000,$,4000000
65,Hang 'Em High,$ 1600000,$,1600000
66,The Jungle Book,$ 4000000,$,4000000
67,You Only Live Twice,$ 9500000,$,9500000
68,2001: A Space Odyssey,$ 12000000,$,12000000
69,Funny Girl,$ 14100000,$,14100000
70,Night of the Living Dead,$ 114000,$,114000
71,The Odd Couple,$ 1200000,$,1200000
72,Planet of the Apes,$ 5800000,$,5800000
73,Butch Cassidy and the Sundance Kid,$ 6000000,$,6000000
74,Easy Rider,$ 360000,$,360000
75,"Hello, Dolly!",$ 25000000,$,25000000
76,Midnight Cowboy,$ 3600000,$,3600000
77,On Her Majesty's Secret Service,$ 7000000,$,7000000
78,Paint Your Wagon,$ 20000000,$,20000000
79,Two Mules for Sister Sara,$ 2500000,$,2500000
80,Where Eagles Dare,$ 7700000,$,7700000
81,The Wild Bunch,$ 6244087,$,6244087
82,Airport,$ 10000000,$,10000000
83,The AristoCats,$ 4000000,$,4000000
84,Beneath the Planet of the Apes,$ 3000000,$,3000000
85,Il conformista,$ 750000,$,750000
86,Kelly's Heroes,$ 4000000,$,4000000
87,Little Big Man,$ 15000000,$,15000000
88,Love Story,$ 2200000,$,2200000
89,THX 1138,$ 777000,$,777000
90,A Clockwork Orange,$ 2200000,$,2200000
91,Diamonds Are Forever,$ 7200000,$,7200000
92,Dirty Harry,$ 4000000,$,4000000
93,Escape from the Planet of the Apes,$ 2500000,$,2500000
94,Fiddler on the Roof,$ 9000000,$,9000000
95,The French Connection,$ 1800000,$,1800000
96,Wake in Fright,AUD 800000,AUD,520000.0
97,Play Misty for Me,$ 725000,$,725000
98,Willy Wonka & the Chocolate Factory,$ 3000000,$,3000000
99,Conquest of the Planet of the Apes,$ 1700000,$,1700000
100,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,$ 2000000,$,2000000
101,The Godfather,$ 6000000,$,6000000
102,High Plains Drifter,$ 5500000,$,5500000
103,Solaris,RUR 1000000,RUR,13000.0
104,American Graffiti,$ 777000,$,777000
105,Battle for the Planet of the Apes,$ 1800000,$,1800000
106,The Exorcist,$ 11000000,$,11000000
107,Live and Let Die,$ 7000000,$,7000000
108,Mean Streets,$ 500000,$,500000
109,Papillon,$ 12000000,$,12000000
110,Serpico,$ 3000000,$,3000000
111,Sleeper,$ 2000000,$,2000000
112,The Sting,$ 5500000,$,5500000
113,Ultimo tango a Parigi,$ 1250000,$,1250000
114,The Wicker Man,$ 810000,$,810000
115,Blazing Saddles,$ 2600000,$,2600000
116,Chinatown,$ 6000000,$,6000000
117,The Conversation,$ 1600000,$,1600000
118,The Godfather: Part II,$ 13000000,$,13000000
119,The Great Gatsby,$ 6500000,$,6500000
120,The Man with the Golden Gun,$ 7000000,$,7000000
121,Monty Python and the Holy Grail,GBP 229575,GBP,289264.5
122,Murder on the Orient Express,GBP 1500000,GBP,1890000.0
123,The Texas Chain Saw Massacre,$ 300000,$,300000
124,Thunderbolt and Lightfoot,$ 2200000,$,2200000
125,The Towering Inferno,$ 14000000,$,14000000
126,Young Frankenstein,$ 2800000,$,2800000
127,Dog Day Afternoon,$ 1800000,$,1800000
128,The Eiger Sanction,$ 9000000,$,9000000
129,Jaws,$ 7000000,$,7000000
130,Love and Death,$ 3000000,$,3000000
131,Nashville,$ 2200000,$,2200000
132,One Flew Over the Cuckoo's Nest,$ 3000000,$,3000000
133,Picnic at Hanging Rock,AUD 440000,AUD,286000.0
134,The Rocky Horror Picture Show,$ 1200000,$,1200000
135,Tommy,$ 5000000,$,5000000
136,All the President's Men,$ 8500000,$,8500000
137,Carrie,$ 1800000,$,1800000
138,The Enforcer,$ 9000000,$,9000000
139,King Kong,$ 24000000,$,24000000
140,Marathon Man,$ 6500000,$,6500000
141,Network,$ 3800000,$,3800000
142,The Omen,$ 2800000,$,2800000
143,The Outlaw Josey Wales,$ 3700000,$,3700000
144,Rocky,$ 960000,$,960000
145,A Star Is Born,$ 6000000,$,6000000
146,Taxi Driver,$ 1300000,$,1300000
147,Annie Hall,$ 4000000,$,4000000
148,Close Encounters of the Third Kind,$ 20000000,$,20000000
