,title,year,country,language,duration,genre,director,production_company,description,budget,usa_gross_income,worlwide_gross_income,IMDB_rating,metascore,reviews_from_users,votes,reviews_from_critics,female_avg_rating,male_avg_rating,female_votes,male_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval,genre_1,genre_2,genre_3,country_1,country_2,country_3,budget_USD,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3
33,Psycho,1960,USA,English,109,"Horror, Mystery, Thriller",Alfred Hitchcock,Shamley Productions,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",$ 806947,$ 32000000,$ 32000000,8.5,97.0,1190.0,555227,231.0,8.4,8.5,83483.0,334697.0,8.7,505.0,8.6,130264.0,8.4,200243.0,8.5,70585.0,509541,37238,8448,0.92,1,Horror, Mystery, Thriller,USA,,,806947.0,Anthony Perkins,D,Vera Miles,D,John Gavin,D
34,Spartacus,1960,USA,English,197,"Adventure, Biography, Drama",Stanley Kubrick,Bryna Productions,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,$ 12000000,$ 1830650,$ 1836351,7.9,87.0,293.0,115804,123.0,7.7,7.9,8891.0,82656.0,8.0,42.0,7.9,16670.0,7.8,49635.0,8.0,23509.0,101184,12075,2545,0.87,1,Adventure, Biography, Drama,USA,,,12000000.0,Kirk Douglas,D,Laurence Olivier,D,Jean Simmons,D
35,Swiss Family Robinson,1960,USA,English,126,"Adventure, Family",Ken Annakin,Walt Disney Productions,A Swiss family must survive being shipwrecked on a deserted island.,$ 5000000,$ 40356000,$ 40356000,7.2,61.0,63.0,12597,32.0,7.4,7.1,2121.0,7702.0,7.8,4.0,7.2,1555.0,7.2,4841.0,7.1,3165.0,9370,2922,305,0.74,1,Adventure, Family,,USA,,,5000000.0,John Mills,D,Dorothy McGuire,D,James MacArthur,D
36,One Hundred and One Dalmatians,1961,USA,English,79,"Animation, Adventure, Comedy","Clyde Geronimi, Hamilton Luske",Walt Disney Productions,"When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.",$ 4000000,$ 144880014,$ 216026182,7.2,83.0,120.0,141722,96.0,7.5,7.1,35359.0,75762.0,7.2,181.0,7.3,45975.0,7.1,49250.0,7.3,11390.0,108703,31021,1998,0.77,1,Animation, Adventure, Comedy,USA,,,4000000.0,Rod Taylor,D,J. Pat O'Malley,D,Betty Lou Gerson,D
37,Une femme est une femme,1961,"France, Italy",French,85,"Comedy, Drama, Romance",Jean-Luc Godard,Euro International Film (EIA),"A French striptease artist is desperate to become a mother. When her reluctant boyfriend suggests that his best friend impregnate her, feelings become complicated when she accepts.",$ 160000,$ 100665,$ 100665,7.5,71.0,41.0,13684,70.0,7.7,7.5,2716.0,8396.0,7.8,5.0,7.7,3760.0,7.5,5383.0,6.9,1789.0,10898,2362,424,0.8,1,Comedy, Drama, Romance,France, Italy,,160000.0,Jean-Claude Brialy,D,Anna Karina,D,Jean-Paul Belmondo,D
38,West Side Story,1961,USA,"English, Spanish",153,"Crime, Drama, Musical","Jerome Robbins, Robert Wise",The Mirisch Corporation,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",$ 6000000,$ 44055492,$ 44061777,7.5,86.0,367.0,89887,131.0,7.6,7.5,21255.0,47585.0,7.8,57.0,7.5,17193.0,7.3,31215.0,7.9,18416.0,71158,15563,3166,0.79,1,Crime, Drama, Musical,USA,,,6000000.0,Natalie Wood,D,Richard Beymer,D,Russ Tamblyn,D
40,How the West Was Won,1962,USA,"English, Arapaho",164,Western,"John Ford, Henry Hathaway",Metro-Goldwyn-Mayer (MGM),"A family saga covering several decades of Westward expansion in the nineteenth century - including the Gold Rush, the Civil War, and the building of the railroads.",$ 15000000,$ 76729,$ 76729,7.1,56.0,162.0,17245,38.0,7.3,7.1,1549.0,12233.0,7.9,6.0,7.3,1366.0,6.9,5104.0,7.2,7016.0,12508,4216,521,0.73,1,Western,,,USA,,,15000000.0,Carroll Baker,D,Lee J. Cobb,D,Henry Fonda,D
39,Dr. No,1962,UK,"English, French",110,"Action, Adventure, Thriller",Terence Young,Eon Productions,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,$ 1100000,$ 16067035,$ 16067035,7.3,78.0,439.0,136931,128.0,7.1,7.3,8784.0,99988.0,7.4,97.0,7.3,26307.0,7.2,56974.0,7.3,22151.0,108784,26459,1688,0.79,1,Action, Adventure, Thriller,UK,,,1100000.0,Sean Connery,B,Ursula Andress,D,Joseph Wiseman,D
41,Lawrence of Arabia,1962,UK,"English, Arabic, Turkish",228,"Adventure, Biography, Drama",David Lean,Horizon Pictures (II),The story of,$ 15000000,$ 45306425,$ 45710874,8.3,100.0,624.0,249021,194.0,8.0,8.3,22450.0,165382.0,8.7,131.0,8.3,40225.0,8.2,93657.0,8.5,47922.0,215853,23502,9666,0.87,1,Adventure, Biography, Drama,UK,,,15000000.0,Peter O'Toole,D,Alec Guinness,D,Anthony Quinn,D
42,The Manchurian Candidate,1962,USA,English,126,"Drama, Thriller",John Frankenheimer,M.C. Productions,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,$ 2200000,$ 2757256,$ 2757256,7.9,94.0,326.0,68370,111.0,7.9,7.9,6839.0,47135.0,7.9,10.0,7.9,6736.0,7.8,28450.0,8.0,18185.0,58925,7512,1933,0.86,1,Drama, Thriller,,USA,,,2200000.0,Frank Sinatra,D,Laurence Harvey,D,Janet Leigh,D
